"id","status","noCharge","completedOn","invoice_total","lon","lat"
30500170,Hold,false,,0,-82.9663489,40.079448
28460822,Completed,false,"2019-07-19T19:15:00",0,-83.0008945,40.0193503
29543583,Canceled,false,"2019-07-19T14:45:22.7485338",0,-83.0144218,40.0535053
31113730,Completed,false,"2019-06-28T21:42:00",2273,,
31264388,Completed,true,"2019-06-26T13:36:00",0,-83.136459,40.154421
31052042,Completed,true,"2019-07-17T14:53:00",0,-83.01959999999997,40.040534
31292052,Completed,false,"2019-06-26T18:59:00",334,-82.803314,39.9657846
31313842,Completed,true,"2019-06-26T14:57:00",0,-83.05922090000001,40.05411
31322863,Completed,true,"2019-06-27T14:24:00",0,-83.0566719,40.0079515
31327645,Completed,true,"2019-06-27T15:11:00",0,-82.8598592,40.0475723
31250421,Completed,true,"2019-07-19T13:26:00",0,-82.930065,39.950743
31250764,Hold,false,,0,-83.01450499999999,40.085953
31336437,Completed,false,"2019-06-28T14:44:00",590,-83.1001523,40.0255103
31302748,Completed,false,"2019-07-02T14:18:00",119,-83.1011765,40.0206443
31361793,Completed,false,"2019-06-26T14:05:00",279,-83.0100568,40.0339046
30669007,Hold,true,,0,-82.8615594,40.0295467
31382961,Completed,false,"2019-06-28T21:01:00",302,-83.067054,39.998725
31390282,Completed,false,"2019-06-27T16:45:00",3825,-82.8251409,40.0334545
30724308,Completed,false,"2019-08-29T14:06:00",49,-83.0486603,39.8328317
31408464,Completed,false,"2019-06-26T14:36:00",0,-83.056229,40.021987
31356601,Completed,false,"2019-07-24T15:18:00",49,-82.80804269999999,39.9231062
31557711,Completed,true,"2019-07-19T18:10:00",1140,-83.15041099999996,40.150469
31417955,Completed,false,"2019-06-26T13:11:00",49,-83.1061878,39.9986605
31431548,Completed,false,"2019-06-26T14:12:00",330,-83.0063753,40.051432
31464134,Completed,false,"2019-07-03T00:24:01.407",240,-117.3411958,33.2087759
31495879,Completed,false,"2019-06-28T17:23:00",2019,-82.9779205,39.9382162
31521385,Completed,true,"2019-06-26T13:35:00",564,-83.1598541,39.956173
31524504,Hold,false,,0,-83.0991882,40.1913139
31566815,Completed,false,"2019-07-17T13:25:00",8530,-83.0827552,39.8864251
31526265,Completed,false,"2019-06-27T16:08:00",695,-83.0523516,40.0451036
31134335,Completed,true,"2019-07-25T16:11:00",0,-82.8393303,40.0586476
31533688,Completed,true,"2019-07-02T13:32:00",0,-82.9163701,40.182439
31538047,Completed,false,"2019-06-26T20:39:00",0,-83.0515127,40.0188917
31538162,Canceled,false,"2019-06-26T14:16:05.7317096",0,,
31538485,Completed,true,"2019-06-26T16:08:00",0,-82.8736735,40.01179
31538562,Completed,false,"2019-06-26T15:45:00",2499,-83.0327601,40.0972105
31542898,Completed,false,"2019-07-02T20:45:00",0,-83.0416966,40.1081047
31543077,Completed,false,"2019-06-28T15:50:00",144,-82.9343785,40.1857468
31543601,Completed,false,"2019-06-27T14:54:00",0,-82.8137758,39.9759524
31546716,Completed,false,"2019-06-27T14:52:00",286,-83.06695939999997,40.0661664
31547251,Completed,true,"2019-06-26T13:52:00",0,-83.0668003,40.1671179
31547861,Completed,false,"2019-06-28T20:06:00",2900,-83.0479262,40.0214486
31552095,Completed,true,"2019-06-27T20:21:00",0,-82.792173,40.016692
31552158,Completed,true,"2019-06-26T13:25:00",0,-83.0621242,39.9048576
31599563,Completed,false,"2019-07-17T14:06:00",424,-83.1274124,40.1876043
31556160,Completed,true,"2019-06-26T19:24:00",0,-83.1001942,40.0823253
31718000,Completed,false,"2019-09-13T21:12:00",2739,-82.9605946,39.9059259
31556391,Completed,true,"2019-06-27T12:59:00",0,-83.0798203,40.0508556
31556688,Completed,true,"2019-06-28T16:25:00",0,-83.1355191,40.0197142
31560558,Canceled,true,"2019-07-19T12:50:34.3597947",0,-117.2060833,33.1201877
31558552,Completed,true,"2019-06-26T16:36:00",0,-83.0466887,40.1314615
31248194,Completed,false,"2019-08-26T15:40:00",165,-83.12041399999998,39.982492
31678522,Completed,false,"2019-07-19T22:47:00",1650,-83.0255429,40.0712354
31562708,Completed,false,"2019-06-28T12:55:00",308,-83.075367,40.0320449
31562734,Completed,false,"2019-06-27T19:14:00",1982,-83.080467,40.04446799999999
31564155,Hold,false,,1084,-82.9768061,39.8795319
31565506,Completed,true,"2019-06-26T15:13:00",0,-83.18273950000003,40.0476251
31567077,Canceled,false,"2019-06-26T17:13:56.2151675",0,-83.0747049,40.0925174
31567091,Completed,false,"2019-06-26T13:49:00",0,-83.0324873,39.9292701
31568970,Canceled,false,"2019-06-25T17:17:31.4014146",0,-83.0484506,40.1224493
31570818,Completed,false,"2019-06-26T20:37:00",2994,-83.0534422,40.004127
31588962,Completed,false,"2019-07-02T14:43:00",575,-83.0956463,40.1744934
31574684,Completed,true,"2019-06-26T21:28:00",0,-82.875846,40.0571849
31575322,Completed,true,"2019-06-26T12:21:00",0,-83.0535089,40.1085556
31575882,Completed,true,"2019-06-27T13:57:00",0,-83.0550571,39.8591572
31576303,Completed,false,"2019-06-27T15:47:00",634,-83.096402,40.057765
31576489,Canceled,true,"2019-06-27T14:06:45.8913014",0,-117.1982272,33.1892205
31580863,Completed,false,"2019-06-26T14:11:00",490,-82.7531295,39.9209141
31927616,Completed,false,"2019-09-13T18:17:00",478.04,-83.0489959,40.0690993
31583567,Completed,false,"2019-06-26T17:16:00",0,-82.85049400000003,40.050271
31583695,Completed,true,"2019-06-26T19:48:00",0,-82.760966,39.8694637
31586387,Completed,false,"2019-06-27T20:49:00",472,-83.0701342,40.1207634
31586891,Completed,false,"2019-06-26T17:15:00",0,-82.8689627,39.9693279
31586901,Completed,true,"2019-06-28T14:31:00",0,-83.067384,40.004813
31587692,Completed,false,"2019-06-26T12:47:00",0,-83.15351799999996,39.9940631
31850987,Completed,false,"2019-08-28T01:58:14.749",1809,-117.0765811,33.0965849
